location_id,connection_count,connectivity_tier,avg_segment_distance,min_segment_distance,max_segment_distance
IND503122AAA,2,low,17.158484615384616,0.0,37.4992
IND503185AAA,2,low,23.804773469387758,3.8887,49.0986
IND503187AAA,2,low,15.187988461538461,0.0,32.949
IND504201AAA,3,medium,25.221837500000003,12.9421,51.389300000000006
IND504208AAB,4,medium,27.08092258064516,1.0544,42.7186
IND504215AAA,3,medium,21.65625918367347,9.4436,37.407300000000006
IND504251AAA,4,medium,22.078386666666667,8.4848,38.3192
IND504293AAA,4,medium,27.449244680851066,12.3113,53.469
IND504296AAA,4,medium,23.34126875,8.4848,35.4334
IND505001AAA,2,low,17.800234999999997,3.1316,29.042
IND505001AAB,14,high,25.153420384615384,1.0544,63.4686
IND505122AAA,3,medium,25.795816949152538,8.961,48.3566
IND505172AAA,1,low,17.0741,8.2936,25.8546
IND505184AAC,3,medium,24.734108333333335,16.9114,51.389300000000006
IND505209AAA,3,medium,20.77063571428571,6.8994,29.2765
IND505302AAB,5,medium,19.403386274509806,0.0,31.7815
IND505325AAA,2,low,19.450675,0.0,31.7815
IND505326AAA,1,low,24.6496,24.2936,25.0056
IND505326AAB,5,medium,24.56254375,0.7309,63.4686
IND505327AAA,5,medium,18.552881818181817,1.6604,27.481900000000003
IND505425AAA,5,medium,18.901888461538462,0.7309,28.7921
IND505467AAA,2,low,23.05305,15.4439,33.137800000000006
IND505503AAA,2,low,15.766240000000002,0.0,27.8003
IND506001AAC,2,low,20.68002,8.961,32.9505
IND506002AAA,6,medium,22.24618495934959,3.8887,62.1997
IND506132AAA,2,low,21.295506410256408,6.9225,44.1862
IND506143AAA,2,low,15.24376779661017,0.9279,25.6553
IND506164AAA,1,low,18.443933333333334,8.913200000000002,27.8003
IND506167AAB,2,low,22.89271485148515,0.9279,108.9545
IND506169AAB,2,low,17.916366666666665,0.0,33.7726
IND506314AAA,2,low,22.302922077922076,4.9308000000000005,36.8707
IND506343AAA,2,low,22.8300625,8.783299999999999,33.7726
IND507002AAA,9,medium,23.178586379928316,1.9549,156.764
IND507111AAA,2,low,18.855246341463413,6.472,40.4029
IND507117AAB,3,medium,25.186953913043478,6.472,43.5043
IND507123AAA,2,low,22.653624324324323,11.3779,36.8707
IND507159AAA,2,low,23.571617021276595,0.0,51.3454
IND507167AAA,1,low,15.970744444444442,3.504,30.6913
IND507303AAA,3,medium,24.36215306122449,1.9549,43.5043
IND508001AAA,3,medium,23.928500000000007,6.6046000000000005,34.5107
IND508116AAA,3,medium,20.658933333333334,12.568,31.1907
IND508206AAA,3,medium,20.905616,0.0,51.3454
IND508207AAB,4,medium,26.415502380952375,0.0,74.26480000000001
IND508213AAB,2,low,22.978452857142855,12.0043,35.4496
IND508223AAA,3,medium,22.821787951807227,0.0,76.1115
IND508248AAB,3,medium,22.005615853658533,0.0,38.0291
IND508252AAB,2,low,29.433226666666663,1.6683,74.26480000000001
IND508277AAB,2,low,22.2542325,1.6945,29.2802
IND508377AAB,2,low,26.115485263157897,0.0,155.1362
IND509001AAA,2,low,19.99746037735849,0.0,37.5237
IND509103AAB,3,medium,27.737340740740745,2.8355,101.5323
IND509103AAC,3,medium,24.691849999999995,0.0,45.444300000000005
IND509124AAA,4,medium,20.542309302325584,0.0,105.6403
IND509203AAA,2,low,16.62118947368421,0.3038,25.8237
IND509216AAC,3,medium,12.643637878787878,0.0,30.0036
IND509301AAA,3,medium,18.38059213483146,0.3038,31.5023
IND509324AAA,2,low,18.98513684210526,0.0,30.8894
IND509358AAA,3,medium,21.734824999999997,11.3852,38.0291
IND515004AAA,10,medium,24.055876903225805,0.0,60.0951
IND515134AAA,4,medium,11.840557751937986,0.0,35.649300000000004
IND515201AAA,2,low,10.460253086419751,0.6958,19.1194
IND515301AAA,2,low,9.645681081081081,5.599399999999999,13.2261
IND515401AAB,2,low,17.100626744186044,1.8164,32.091
IND515411AAA,2,low,23.89570833333333,8.3225,39.7335
IND515591AAA,3,medium,23.474524489795915,11.7847,33.4988
IND515671AAA,3,medium,19.47165272727273,5.111,32.0727
IND515761AAA,3,medium,20.030582474226808,7.7408,49.969800000000006
IND515801AAA,4,medium,21.139982905982908,2.8889,49.969800000000006
IND515865AAB,2,low,22.001649074074074,8.5722,36.588
IND516001AAA,2,low,26.984099999999998,23.4941,31.2828
IND516101AAA,2,low,9.732571717171718,0.0,68.8659
IND516115AAA,2,low,10.509366019417476,0.0,31.8071
IND516227AAA,2,low,24.927070000000004,2.6207,35.4229
IND516269AAA,2,low,22.123693258426965,0.8656,34.016400000000004
IND516360AAB,2,low,28.02656,15.1732,39.7335
IND516390AAA,2,low,23.001203361344537,0.8656,46.5228
IND517325AAA,1,low,23.32935,0.0,46.6587
IND517408AAA,1,low,23.32935,0.0,46.6587
IND517501AAB,4,medium,15.073165743944637,0.9855,32.0903
IND517583AAA,2,low,10.482525405405406,0.0,68.8659
IND517644AAA,2,low,21.12442419354839,8.5008,27.6558
IND518002AAA,12,high,26.764553575615473,0.0,105.6403
IND518102AAA,2,low,37.92738571428571,5.9912,67.534
IND518124AAA,3,medium,21.957776923076924,12.821,35.823699999999995
IND518206AAA,3,medium,23.203847368421055,7.3407,57.0206
IND518222AAA,2,low,18.468621739130437,2.1776,28.6126
IND518401AAA,2,low,16.70935,3.7215,28.2397
IND518422AAB,2,low,37.248953846153846,3.9479,65.44069999999999
IND518501AAA,2,low,23.913778571428573,14.2482,44.8909
IND520011AAA,1,low,10.87129069767442,0.6675,41.8469
IND521001AAA,3,medium,19.989079365079363,0.6321,34.2393
IND521105AAA,3,medium,23.95718,13.4965,33.6691
IND521165AAA,2,low,24.866725000000002,4.7706,62.0397
IND521185AAA,2,low,10.46960989010989,0.0,41.8469
IND521201AAA,2,low,26.194917777777775,19.945400000000003,30.5631
IND521225AAB,13,high,30.252760172299535,0.0,253.2989
IND521301AAA,2,low,21.11044605263158,0.6321,30.4313
IND521333AAA,3,medium,24.321901408450703,0.0,96.0246
IND522647AAA,2,low,23.599964999999997,13.5865,28.2979
IND523002AAA,9,medium,30.026834085778777,0.0,189.5682
IND523105AAA,3,medium,19.28757142857143,0.0,81.53869999999999
IND523201AAA,2,low,21.51500975609756,11.1103,37.6072
IND523226AAA,2,low,22.121423404255317,0.0,28.1367
IND523230AAA,2,low,21.249304999999996,0.0,35.6312
IND523316AAB,3,medium,24.23771494252874,0.0,28.1367
IND524003AAA,2,low,28.2950625748503,4.8661,83.83019999999999
IND524101AAB,2,low,22.749471739130435,9.0024,32.0903
IND524132AAA,2,low,21.097727586206897,8.5008,29.6303
IND524201AAA,2,low,24.913069,0.0,87.64710000000001
IND530012AAA,14,high,18.32635283968368,0.0,293.3271
IND530012AAC,2,low,26.05376727272727,6.5213,61.499300000000005
IND530018AAA,1,low,12.2135,12.2135,12.2135
IND530026AAA,1,low,11.02111875,4.5248,20.9084
IND530043AAA,2,low,9.735903174603177,0.0,19.529
IND531001AAA,2,low,9.197021739130435,0.0,24.7421
IND531036AAA,2,low,10.78348888888889,0.0,20.9084
IND531116AAA,2,low,9.605518965517241,0.0,25.184
