route_schedule_uuid,num_trips,route_total_distance,route_driving_time,route_start_time,route_end_time,route_shift_duration,route_total_time,route_start_location,route_end_location
thanos::sroute:053e2fea-873d-4842-8e3a-edd56902312e,1,11.9669,14.0,2018-09-19 00:43:18.327275,2018-09-19 01:24:19.077163,41.01249813333333,41.01249813333333,IND110085AAB,IND110087AAA
thanos::sroute:05bfde5b-f08b-41d2-8d40-b2179d78e4af,2,1657.6594,2447.0,2018-09-23 20:23:56.664305,2018-09-25 21:44:59.061553,2961.039954133333,2961.039954133333,IND421302AAG,IND501359AAE
thanos::sroute:05c1c3a2-b159-49cc-89ae-bcce3d1083e9,15,7001.4751,10765.0,2018-09-12 21:00:38.264408,2018-09-27 06:37:48.250118,20737.166428499997,20737.166428499997,IND403726AAA,IND581325AAA
thanos::sroute:061cbd67-f34d-4ccd-b81d-557b8bd7e50f,7,7204.6469,9230.0,2018-09-12 19:13:56.169133,2018-09-20 00:36:13.725500,10402.292606116667,10402.292606116667,IND000000ACT,IND395023AAA
thanos::sroute:064ead43-1e50-43e7-b95d-ec81409b9ffa,19,617.1501000000001,1934.0,2018-09-12 22:41:37.074221,2018-10-04 02:16:21.678915,30454.743411566666,30454.743411566666,IND382430AAB,IND382430AAB
thanos::sroute:0655359c-70bf-4967-bac1-5b42ef6e5e6a,12,519.7832,559.0,2018-09-14 03:26:51.025710,2018-09-30 05:51:42.744378,23184.861977800003,23184.861977800003,IND560099AAB,IND560060AAB
thanos::sroute:0685634d-daca-4ce4-84ad-5d22fc695e04,4,188.67329999999998,341.0,2018-09-12 10:03:18.468530,2018-09-27 12:20:23.965124,21737.0916099,21737.0916099,IND000000ACT,IND000000ACB
thanos::sroute:0687a165-8aa5-4270-b2d1-1a838d9c9bab,2,62.72670000000001,110.0,2018-09-23 14:11:58.899308,2018-09-25 17:15:33.794424,3063.5815852666665,3063.5815852666665,IND562132AAA,IND000000ACS
thanos::sroute:06b37046-b91b-4f4d-9aac-e799aa09dc2f,1,223.03070000000002,276.0,2018-09-17 08:05:40.886155,2018-09-17 13:07:18.203139,301.62194973333334,301.62194973333334,IND792001AAA,IND786001AAB
thanos::sroute:071f7832-9413-4e95-8925-be972439f9aa,17,6098.8642,11571.0,2018-09-12 21:31:50.498889,2018-10-04 20:27:16.957915,31615.440983766668,31615.440983766668,IND263153AAB,IND263153AAB
thanos::sroute:074b1ab2-c84c-42a1-a662-098ded0b3e97,25,1868.471,4157.0,2018-09-12 00:41:16.117700,2018-10-04 01:53:50.162517,31752.567413616667,31752.567413616667,IND121002AAB,IND000000ACB
thanos::sroute:074d77c8-bd46-46c6-a625-cb9e55b56e2f,10,443.149,708.0,2018-09-12 02:56:30.978959,2018-09-23 06:02:46.228794,16026.254163916667,16026.254163916667,IND562132AAA,IND560078AAC
thanos::sroute:076f412d-6f63-453f-b754-03184c1f0c51,11,1562.6078,2956.0,2018-09-15 20:43:07.597176,2018-09-27 05:26:44.036251,16363.607317916667,16363.607317916667,IND854326AAB,IND851204AAA
thanos::sroute:079beec0-9e0c-4310-a387-28b7205467d8,4,162.8453,314.0,2018-09-13 22:54:01.597290,2018-09-27 06:55:56.272160,19201.911247833334,19201.911247833334,IND501359AAE,IND500039AAD
thanos::sroute:07bed8fc-ac77-44d7-ad13-ee61d0871be0,11,1205.2108,1945.0,2018-09-12 01:08:52.675715,2018-09-26 05:15:46.510579,20406.897247733334,20406.897247733334,IND384205AAA,IND382430AAB
thanos::sroute:0904e75c-b3ac-4278-96cf-802835a1d5fc,22,2360.4409,3623.0,2018-09-13 02:01:00.512691,2018-10-04 07:02:54.158713,30541.894100366666,30541.894100366666,IND141003AAB,IND000000ACA
thanos::sroute:0911d167-9388-4fa0-b691-0425a128ddff,11,452.6049,1578.0,2018-09-16 06:06:13.416039,2018-10-03 05:21:52.760926,24435.655748116667,24435.655748116667,IND181201AAB,IND181201AAB
thanos::sroute:095a600e-3b47-4e00-b27b-d95cc1def761,24,1301.8222,1651.0,2018-09-12 19:37:01.124904,2018-10-04 00:19:42.059974,30522.682251166665,30522.682251166665,IND560099AAB,IND560300AAA
thanos::sroute:0993e481-080e-496e-989d-3dd96a1fc032,18,529.3571,1113.0,2018-09-12 07:12:08.426510,2018-10-03 08:07:52.162501,30295.728933183334,30295.728933183334,IND000000AFT,IND410209AAA
thanos::sroute:09a9cf4a-ac91-4cd5-bb32-9d4e9f173a28,2,51.7929,169.0,2018-09-12 05:25:06.898708,2018-09-14 09:55:24.525173,3150.293774416667,3150.293774416667,IND395023AAD,IND395023AAD
thanos::sroute:09b4c49e-0e89-40b6-99b3-e671400fe5ef,12,868.0912000000001,1672.0,2018-09-12 00:33:22.667576,2018-10-03 04:45:28.559601,30492.098200416665,30492.098200416665,IND560300AAA,IND560099AAB
thanos::sroute:0a05c445-d943-4f05-82ed-fd90a6d31e87,1,11.7786,20.0,2018-09-27 01:25:45.738639,2018-09-27 02:42:55.656827,77.16530313333332,77.16530313333332,IND110077AAA,IND110043AAA
thanos::sroute:0a956ef4-859d-49ec-8c80-b246a514458a,8,1683.9245,2054.0,2018-09-13 19:47:42.252020,2018-09-21 05:43:13.513100,10675.521018,10675.521018,IND501359AAE,IND501359AAE
thanos::sroute:0a9eeb5a-5b67-4867-a2b5-d06343064e14,3,74.9117,138.0,2018-09-16 01:22:47.999934,2018-09-25 02:33:35.246074,13030.787435666665,13030.787435666665,IND110044AAB,IND110037AAM
