trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T12:57:25.625429,"{'cost_weight': 0.8014227937836712, 'service_weight': 0.28522004216741725, 'max_cascade_depth': 2, 'max_deadhead_minutes': 107.90140384938076, 'max_delay_minutes': 88.0675279854205}",0.0,0.4,0.15748691257018813,0.0,0.0,0.0,0,0.018419981002807617
2,2025-08-06T12:57:25.645293,"{'cost_weight': 0.5096581552332222, 'service_weight': 0.8417339245887635, 'max_cascade_depth': 3, 'max_deadhead_minutes': 98.49329212562297, 'max_delay_minutes': 166.44439774814032}",0.0,0.4,0.3737185989870426,0.0,0.0,0.0,0,0.015660524368286133
3,2025-08-06T12:57:25.675467,"{'cost_weight': 0.30196115609969754, 'service_weight': 0.8612528863066408, 'max_cascade_depth': 1, 'max_deadhead_minutes': 34.154261206838406, 'max_delay_minutes': 177.2323431577214}",0.0,0.4,0.44424475027397475,0.0,0.0,0.0,0,0.028920412063598633
4,2025-08-06T12:57:25.695857,"{'cost_weight': 0.3944190094743343, 'service_weight': 0.7889516653234321, 'max_cascade_depth': 2, 'max_deadhead_minutes': 110.62763633879933, 'max_delay_minutes': 59.106451841721565}",0.0,0.4,0.40001920723188156,0.0,0.0,0.0,0,0.017577409744262695
5,2025-08-06T12:57:25.727313,"{'cost_weight': 0.718724936916873, 'service_weight': 0.58984206313295, 'max_cascade_depth': 1, 'max_deadhead_minutes': 63.80450784922775, 'max_delay_minutes': 107.19099256588989}",0.0,0.4,0.270452516276427,0.0,0.0,0.0,0,0.02582240104675293
6,2025-08-06T12:57:25.759888,"{'cost_weight': 0.4933425916694769, 'service_weight': 0.7871696462516198, 'max_cascade_depth': 2, 'max_deadhead_minutes': 77.12389633161936, 'max_delay_minutes': 68.82053470232378}",0.0,0.4,0.3688381678551942,0.0,0.0,0.0,0,0.027725696563720703
7,2025-08-06T12:57:25.777237,"{'cost_weight': 0.6359046151796294, 'service_weight': 0.3308373603943034, 'max_cascade_depth': 2, 'max_deadhead_minutes': 80.95689487562778, 'max_delay_minutes': 82.40926969926963}",0.0,0.4,0.20533133064666573,0.0,0.0,0.0,0,0.0173490047454834
8,2025-08-06T12:57:25.809884,"{'cost_weight': 0.4767042586624918, 'service_weight': 0.6110407682882009, 'max_cascade_depth': 3, 'max_deadhead_minutes': 60.22612207031548, 'max_delay_minutes': 34.70153013845329}",0.0,0.4,0.33704999966829496,0.0,0.0,0.0,0,0.03153181076049805
9,2025-08-06T12:57:25.844111,"{'cost_weight': 0.6503364999932472, 'service_weight': 0.7127970961256731, 'max_cascade_depth': 3, 'max_deadhead_minutes': 44.98633184681076, 'max_delay_minutes': 94.528752238345}",0.0,0.4,0.3137463993940716,0.0,0.0,0.0,0,0.02835249900817871
10,2025-08-06T12:57:25.861492,"{'cost_weight': 0.684688522534515, 'service_weight': 0.7956917136506335, 'max_cascade_depth': 3, 'max_deadhead_minutes': 49.38248405982094, 'max_delay_minutes': 75.47472798383343}",0.0,0.4,0.3224948675487928,0.0,0.0,0.0,0,0.014381885528564453
11,2025-08-06T12:57:25.898643,"{'cost_weight': 0.8322137527255824, 'service_weight': 0.14247202810103218, 'max_cascade_depth': 1, 'max_deadhead_minutes': 118.87757224372673, 'max_delay_minutes': 128.42061160828058}",0.0,0.4,0.08770335891031715,0.0,0.0,0.0,0,0.03607964515686035
12,2025-08-06T12:57:25.928333,"{'cost_weight': 0.13344663804283702, 'service_weight': 0.3179019944052536, 'max_cascade_depth': 2, 'max_deadhead_minutes': 98.66569289324275, 'max_delay_minutes': 153.87809080851395}",0.0,0.4,0.4226028017600988,0.0,0.0,0.0,0,0.017690181732177734
13,2025-08-06T12:57:25.960963,"{'cost_weight': 0.8924702064739201, 'service_weight': 0.3943863954794364, 'max_cascade_depth': 3, 'max_deadhead_minutes': 95.13136170578186, 'max_delay_minutes': 122.01516465363062}",0.0,0.4,0.18388360981982885,0.0,0.0,0.0,0,0.031401872634887695
14,2025-08-06T12:57:25.993020,"{'cost_weight': 0.3155699770974672, 'service_weight': 0.13597697148244836, 'max_cascade_depth': 2, 'max_deadhead_minutes': 95.97541609021351, 'max_delay_minutes': 149.84859493370175}",0.0,0.4,0.18068150642154046,0.0,0.0,0.0,0,0.02105879783630371
15,2025-08-06T12:57:26.026491,"{'cost_weight': 0.785485887491872, 'service_weight': 0.49969584166178277, 'max_cascade_depth': 3, 'max_deadhead_minutes': 106.73774286287151, 'max_delay_minutes': 173.41068146568205}",0.0,0.4,0.23328802316113836,0.0,0.0,0.0,0,0.030253171920776367
16,2025-08-06T12:57:26.059624,"{'cost_weight': 0.12235126939370289, 'service_weight': 0.24112944081021448, 'max_cascade_depth': 2, 'max_deadhead_minutes': 85.87365634592808, 'max_delay_minutes': 116.40269739272476}",0.0,0.4,0.3980339545528087,0.0,0.0,0.0,0,0.02094411849975586
17,2025-08-06T12:57:26.093141,"{'cost_weight': 0.5896887885447548, 'service_weight': 0.45908034173065443, 'max_cascade_depth': 2, 'max_deadhead_minutes': 118.23896393925253, 'max_delay_minutes': 141.29691303213446}",0.0,0.4,0.2626395048127125,0.0,0.0,0.0,0,0.032468318939208984
18,2025-08-06T12:57:26.126432,"{'cost_weight': 0.5283962710462742, 'service_weight': 0.604914342839344, 'max_cascade_depth': 3, 'max_deadhead_minutes': 89.4261230045894, 'max_delay_minutes': 47.91838505728236}",0.0,0.4,0.3202551897570402,0.0,0.0,0.0,0,0.020289182662963867
19,2025-08-06T12:57:26.159601,"{'cost_weight': 0.2219538830636597, 'service_weight': 0.23490797053224569, 'max_cascade_depth': 1, 'max_deadhead_minutes': 108.59971543102743, 'max_delay_minutes': 94.38280159051091}",0.0,0.4,0.30850634871348476,0.0,0.0,0.0,0,0.022630691528320312
20,2025-08-06T12:57:26.194751,"{'cost_weight': 0.7466595691558835, 'service_weight': 0.41037302983629487, 'max_cascade_depth': 2, 'max_deadhead_minutes': 67.40753124062397, 'max_delay_minutes': 162.0040028841641}",0.0,0.4,0.21280629268029935,0.0,0.0,0.0,0,0.03349018096923828
