trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T08:30:56.097780,"{'cost_weight': 0.3357083390937946, 'service_weight': 0.37345641184349526, 'compliance_weight': 0.29083524906271013, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015752315521240234
2,2025-08-06T08:30:56.181111,"{'cost_weight': 0.2646912517355268, 'service_weight': 0.20859404204271478, 'compliance_weight': 0.5267147062217584, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015601634979248047
3,2025-08-06T08:30:56.263455,"{'cost_weight': 0.21805039151178865, 'service_weight': 0.3992765969339946, 'compliance_weight': 0.38267301155421685, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013113737106323242
4,2025-08-06T08:30:56.298796,"{'cost_weight': 0.5156892061761794, 'service_weight': 0.18332556593620877, 'compliance_weight': 0.3009852278876118, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014966487884521484
5,2025-08-06T08:30:56.381359,"{'cost_weight': 0.4303373097069573, 'service_weight': 0.33024304998622495, 'compliance_weight': 0.23941964030681775, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0158843994140625
6,2025-08-06T08:30:56.463558,"{'cost_weight': 0.4183856930445372, 'service_weight': 0.32419846400477004, 'compliance_weight': 0.2574158429506927, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014694452285766602
7,2025-08-06T08:30:56.499982,"{'cost_weight': 0.4048973398962571, 'service_weight': 0.257270608286952, 'compliance_weight': 0.33783205181679093, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008820533752441406
8,2025-08-06T08:30:56.595111,"{'cost_weight': 0.15927807616055636, 'service_weight': 0.4238783342399273, 'compliance_weight': 0.4168435895995163, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009922504425048828
9,2025-08-06T08:30:56.679448,"{'cost_weight': 0.5053004019554447, 'service_weight': 0.1433359047738115, 'compliance_weight': 0.35136369327074385, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.030480384826660156
10,2025-08-06T08:30:56.763568,"{'cost_weight': 0.42069108585105625, 'service_weight': 0.26329270445985076, 'compliance_weight': 0.31601620968909294, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0166780948638916
11,2025-08-06T08:30:56.847806,"{'cost_weight': 0.5057223814835078, 'service_weight': 0.3419854445031042, 'compliance_weight': 0.15229217401338804, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01569223403930664
12,2025-08-06T08:30:56.931187,"{'cost_weight': 0.3984438054120915, 'service_weight': 0.30746456788203774, 'compliance_weight': 0.29409162670587075, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008733510971069336
13,2025-08-06T08:30:57.015502,"{'cost_weight': 0.21352726067009373, 'service_weight': 0.28290402882788945, 'compliance_weight': 0.5035687105020168, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015880584716796875
14,2025-08-06T08:30:57.096856,"{'cost_weight': 0.35475826830726065, 'service_weight': 0.277313037407962, 'compliance_weight': 0.3679286942847774, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014658689498901367
15,2025-08-06T08:30:57.180200,"{'cost_weight': 0.33868111097300757, 'service_weight': 0.3199403837279137, 'compliance_weight': 0.34137850529907865, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01491546630859375
16,2025-08-06T08:30:57.279645,"{'cost_weight': 0.255821478571102, 'service_weight': 0.3350074982542218, 'compliance_weight': 0.40917102317467624, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0304412841796875
17,2025-08-06T08:30:57.430008,"{'cost_weight': 0.6470133786437199, 'service_weight': 0.13638611984171578, 'compliance_weight': 0.21660050151456425, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0303342342376709
18,2025-08-06T08:30:57.514305,"{'cost_weight': 0.2510287622247449, 'service_weight': 0.26081235916040707, 'compliance_weight': 0.4881588786148481, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009717226028442383
19,2025-08-06T08:30:57.563550,"{'cost_weight': 0.17699271039918898, 'service_weight': 0.4365328142179917, 'compliance_weight': 0.38647447538281937, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015695571899414062
20,2025-08-06T08:30:57.646827,"{'cost_weight': 0.40969641363846426, 'service_weight': 0.43252822565710053, 'compliance_weight': 0.15777536070443524, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009444475173950195
