trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T06:57:16.463840,"{'cost_weight': 0.2660689792301365, 'service_weight': 0.2894565931082183, 'compliance_weight': 0.44447442766164524, 'max_cascade_depth': 3}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.02866840362548828
2,2025-08-06T06:57:16.549141,"{'cost_weight': 0.35853758303165584, 'service_weight': 0.16185554150257594, 'compliance_weight': 0.4796068754657682, 'max_cascade_depth': 2}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.03232908248901367
3,2025-08-06T06:57:16.631587,"{'cost_weight': 0.43846453126806323, 'service_weight': 0.19255795307621065, 'compliance_weight': 0.3689775156557262, 'max_cascade_depth': 3}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.026650428771972656
4,2025-08-06T06:57:16.715387,"{'cost_weight': 0.4497787145267242, 'service_weight': 0.11341153001408084, 'compliance_weight': 0.436809755459195, 'max_cascade_depth': 3}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.03027653694152832
5,2025-08-06T06:57:16.748053,"{'cost_weight': 0.49871177134710726, 'service_weight': 0.22099611823703197, 'compliance_weight': 0.28029211041586066, 'max_cascade_depth': 1}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.015030384063720703
6,2025-08-06T06:57:16.782167,"{'cost_weight': 0.13982828243594891, 'service_weight': 0.337300253118633, 'compliance_weight': 0.5228714644454181, 'max_cascade_depth': 1}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.010033130645751953
7,2025-08-06T06:57:16.864685,"{'cost_weight': 0.4688990917885421, 'service_weight': 0.3412844150541341, 'compliance_weight': 0.18981649315732385, 'max_cascade_depth': 3}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.03168296813964844
8,2025-08-06T06:57:16.948053,"{'cost_weight': 0.15854681680659802, 'service_weight': 0.5865712968868347, 'compliance_weight': 0.25488188630656733, 'max_cascade_depth': 2}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.031624555587768555
9,2025-08-06T06:57:17.029341,"{'cost_weight': 0.5187270988584601, 'service_weight': 0.38496894222175276, 'compliance_weight': 0.09630395891978705, 'max_cascade_depth': 2}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.03219461441040039
10,2025-08-06T06:57:17.115246,"{'cost_weight': 0.3376260126980873, 'service_weight': 0.515354711960155, 'compliance_weight': 0.14701927534175757, 'max_cascade_depth': 3}",0.244,0.72,1.0,0.1816,0.5333333333333333,3660.0,0.5333333333333333,0,0.018934011459350586
