trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T11:07:51.029494,"{'cost_weight': 0.2503507168529811, 'service_weight': 0.3416464745235719, 'compliance_weight': 0.4080028086234471, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014604330062866211
2,2025-08-06T11:07:51.043439,"{'cost_weight': 0.48214308285541896, 'service_weight': 0.22762193067672776, 'compliance_weight': 0.2902349864678533, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008167743682861328
3,2025-08-06T11:07:51.059536,"{'cost_weight': 0.4099820184138929, 'service_weight': 0.1849018943046396, 'compliance_weight': 0.4051160872814675, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008111953735351562
4,2025-08-06T11:07:51.072141,"{'cost_weight': 0.6617136128210516, 'service_weight': 0.1844303564193191, 'compliance_weight': 0.15385603075962942, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01043844223022461
5,2025-08-06T11:07:51.090644,"{'cost_weight': 0.29645048953954506, 'service_weight': 0.46791697622874673, 'compliance_weight': 0.23563253423170819, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013220548629760742
6,2025-08-06T11:07:51.105225,"{'cost_weight': 0.24971877243609084, 'service_weight': 0.4565362430041117, 'compliance_weight': 0.2937449845597975, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009263992309570312
7,2025-08-06T11:07:51.121221,"{'cost_weight': 0.4057689300791541, 'service_weight': 0.21273644207228715, 'compliance_weight': 0.38149462784855875, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014991044998168945
8,2025-08-06T11:07:51.139177,"{'cost_weight': 0.36150275507734164, 'service_weight': 0.36394021945927013, 'compliance_weight': 0.2745570254633881, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015082597732543945
9,2025-08-06T11:07:51.157298,"{'cost_weight': 0.28345336739583044, 'service_weight': 0.5283514589975955, 'compliance_weight': 0.18819517360657412, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.012753486633300781
10,2025-08-06T11:07:51.171823,"{'cost_weight': 0.24443432735820986, 'service_weight': 0.2554024573271769, 'compliance_weight': 0.5001632153146133, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009189128875732422
11,2025-08-06T11:07:51.206057,"{'cost_weight': 0.09979560460578232, 'service_weight': 0.49836660633335816, 'compliance_weight': 0.4018377890608596, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.03273510932922363
12,2025-08-06T11:07:51.239060,"{'cost_weight': 0.42966223072681686, 'service_weight': 0.30286353790411924, 'compliance_weight': 0.2674742313690639, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.022375106811523438
13,2025-08-06T11:07:51.270851,"{'cost_weight': 0.4473371154200175, 'service_weight': 0.14065474914745693, 'compliance_weight': 0.4120081354325257, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01887989044189453
14,2025-08-06T11:07:51.301269,"{'cost_weight': 0.5374072227835242, 'service_weight': 0.17897200461297705, 'compliance_weight': 0.28362077260349877, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01727437973022461
15,2025-08-06T11:07:51.332994,"{'cost_weight': 0.32064333344770507, 'service_weight': 0.29547019023203863, 'compliance_weight': 0.38388647632025624, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.021772146224975586
16,2025-08-06T11:07:51.364029,"{'cost_weight': 0.12108635380918971, 'service_weight': 0.5211133815985289, 'compliance_weight': 0.3578002645922813, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016798973083496094
17,2025-08-06T11:07:51.395177,"{'cost_weight': 0.4097787187621392, 'service_weight': 0.20721330272471666, 'compliance_weight': 0.38300797851314416, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01752948760986328
18,2025-08-06T11:07:51.425921,"{'cost_weight': 0.21314739954095976, 'service_weight': 0.2625337413520322, 'compliance_weight': 0.524318859107008, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.020627260208129883
19,2025-08-06T11:07:51.454929,"{'cost_weight': 0.3351594688904801, 'service_weight': 0.3621920875118909, 'compliance_weight': 0.302648443597629, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014458894729614258
20,2025-08-06T11:07:51.474254,"{'cost_weight': 0.3336723405112916, 'service_weight': 0.37314447739772394, 'compliance_weight': 0.2931831820909846, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01653456687927246
