trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T15:20:06.756657,"{'cost_weight': 0.8162823394584039, 'service_weight': 0.6276100809201869, 'max_cascade_depth': 1, 'max_deadhead_minutes': 72.57247142014538, 'max_delay_minutes': 139.09586929323342}",0.0,0.4,0.26079924185305714,0.0,0.0,0.0,0,0.030958175659179688
2,2025-08-06T15:20:06.773624,"{'cost_weight': 0.513649398437482, 'service_weight': 0.6044665966984634, 'max_cascade_depth': 3, 'max_deadhead_minutes': 108.61801707284275, 'max_delay_minutes': 70.79264387881025}",0.0,0.4,0.3243670241699581,0.0,0.0,0.0,0,0.014969587326049805
3,2025-08-06T15:20:06.806508,"{'cost_weight': 0.542235838155015, 'service_weight': 0.7559454888541889, 'max_cascade_depth': 1, 'max_deadhead_minutes': 51.659490317025075, 'max_delay_minutes': 109.29533105102784}",0.0,0.4,0.34938670267077226,0.0,0.0,0.0,0,0.02710247039794922
4,2025-08-06T15:20:06.838337,"{'cost_weight': 0.43226966681294743, 'service_weight': 0.7920510837406242, 'max_cascade_depth': 1, 'max_deadhead_minutes': 44.388680240894686, 'max_delay_minutes': 70.83234016904512}",0.0,0.4,0.3881586177719367,0.0,0.0,0.0,0,0.028983116149902344
5,2025-08-06T15:20:06.871242,"{'cost_weight': 0.7006780558048725, 'service_weight': 0.5319844806065115, 'max_cascade_depth': 1, 'max_deadhead_minutes': 69.30076748780195, 'max_delay_minutes': 174.14887042810673}",0.0,0.4,0.2589440977845873,0.0,0.0,0.0,0,0.027747392654418945
6,2025-08-06T15:20:06.890708,"{'cost_weight': 0.6132936102828139, 'service_weight': 0.6375536224817123, 'max_cascade_depth': 2, 'max_deadhead_minutes': 75.36693292224372, 'max_delay_minutes': 85.21122192648956}",0.0,0.4,0.3058184592562789,0.0,0.0,0.0,0,0.01542806625366211
7,2025-08-06T15:20:06.921660,"{'cost_weight': 0.6005872105309871, 'service_weight': 0.4505716079426616, 'max_cascade_depth': 1, 'max_deadhead_minutes': 53.64692329471103, 'max_delay_minutes': 158.49798296653742}",0.0,0.4,0.25718565074510114,0.0,0.0,0.0,0,0.02795124053955078
8,2025-08-06T15:20:06.952489,"{'cost_weight': 0.6825638928207652, 'service_weight': 0.7622622976913352, 'max_cascade_depth': 3, 'max_deadhead_minutes': 89.34230464658373, 'max_delay_minutes': 106.93750730939816}",0.0,0.4,0.3165483721282049,0.0,0.0,0.0,0,0.02482891082763672
9,2025-08-06T15:20:06.971328,"{'cost_weight': 0.36577066722313056, 'service_weight': 0.548744599330561, 'max_cascade_depth': 1, 'max_deadhead_minutes': 91.27967508638123, 'max_delay_minutes': 67.67207345311297}",0.0,0.4,0.3600232512674039,0.0,0.0,0.0,0,0.016131877899169922
10,2025-08-06T15:20:06.988386,"{'cost_weight': 0.8544804241493987, 'service_weight': 0.1539940900937139, 'max_cascade_depth': 3, 'max_deadhead_minutes': 118.94365397892436, 'max_delay_minutes': 61.5677567476379}",0.0,0.4,0.09162001890109674,0.0,0.0,0.0,0,0.012956857681274414
11,2025-08-06T15:20:07.021716,"{'cost_weight': 0.1255768759433124, 'service_weight': 0.32265542327821894, 'max_cascade_depth': 2, 'max_deadhead_minutes': 69.65032266545086, 'max_delay_minutes': 138.1085842270127}",0.0,0.4,0.4319038460707873,0.0,0.0,0.0,0,0.021620512008666992
12,2025-08-06T15:20:07.053153,"{'cost_weight': 0.8920097345211964, 'service_weight': 0.6216085048920479, 'max_cascade_depth': 2, 'max_deadhead_minutes': 115.1217739896499, 'max_delay_minutes': 39.25048507975805}",0.0,0.4,0.24640632176830074,0.0,0.0,0.0,0,0.019437074661254883
13,2025-08-06T15:20:07.084439,"{'cost_weight': 0.32808226318777034, 'service_weight': 0.8925799613907699, 'max_cascade_depth': 3, 'max_deadhead_minutes': 99.32324653064599, 'max_delay_minutes': 130.7135312127817}",0.0,0.4,0.4387356027334846,0.0,0.0,0.0,0,0.019208192825317383
14,2025-08-06T15:20:07.115523,"{'cost_weight': 0.7768207257998465, 'service_weight': 0.39720014506918894, 'max_cascade_depth': 3, 'max_deadhead_minutes': 101.41443331592416, 'max_delay_minutes': 30.692127029886095}",0.0,0.4,0.2029947618095611,0.0,0.0,0.0,0,0.019083261489868164
15,2025-08-06T15:20:07.148564,"{'cost_weight': 0.18706177487954667, 'service_weight': 0.6625658461878748, 'max_cascade_depth': 2, 'max_deadhead_minutes': 81.09928069900144, 'max_delay_minutes': 145.25876076293125}",0.0,0.4,0.467898521487896,0.0,0.0,0.0,0,0.019924640655517578
16,2025-08-06T15:20:07.177832,"{'cost_weight': 0.2700247330935801, 'service_weight': 0.33372000371522226, 'max_cascade_depth': 2, 'max_deadhead_minutes': 57.95733691383559, 'max_delay_minutes': 123.03959479096969}",0.0,0.4,0.3316500998211502,0.0,0.0,0.0,0,0.017203569412231445
17,2025-08-06T15:20:07.205099,"{'cost_weight': 0.47089824199469776, 'service_weight': 0.16469448400475767, 'max_cascade_depth': 3, 'max_deadhead_minutes': 32.64344022652844, 'max_delay_minutes': 81.5051698249899}",0.0,0.4,0.15547171382030459,0.0,0.0,0.0,0,0.014567852020263672
18,2025-08-06T15:20:07.240331,"{'cost_weight': 0.7796177365670405, 'service_weight': 0.5892742827963113, 'max_cascade_depth': 2, 'max_deadhead_minutes': 107.53751502914284, 'max_delay_minutes': 87.38753589868928}",0.0,0.4,0.25828521510573466,0.0,0.0,0.0,0,0.02979445457458496
19,2025-08-06T15:20:07.273338,"{'cost_weight': 0.5458965905128308, 'service_weight': 0.6859266055749851, 'max_cascade_depth': 1, 'max_deadhead_minutes': 83.80397903796535, 'max_delay_minutes': 50.02150076866947}",0.0,0.4,0.33410311207977245,0.0,0.0,0.0,0,0.033007144927978516
20,2025-08-06T15:20:07.305006,"{'cost_weight': 0.7631755359909206, 'service_weight': 0.4673104888706514, 'max_cascade_depth': 3, 'max_deadhead_minutes': 63.74975581676113, 'max_delay_minutes': 156.1801298662669}",0.0,0.4,0.22786629645300843,0.0,0.0,0.0,0,0.028465986251831055
