trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T15:06:56.637354,"{'cost_weight': 0.16053360161931707, 'service_weight': 0.42272548607515914, 'max_cascade_depth': 1, 'max_deadhead_minutes': 44.13355886247256, 'max_delay_minutes': 112.87726313783308}",0.0,0.4,0.4348587051556669,0.0,0.0,0.0,0,0.00677490234375
2,2025-08-06T15:06:56.668737,"{'cost_weight': 0.3443215981101312, 'service_weight': 0.5556866888295531, 'max_cascade_depth': 1, 'max_deadhead_minutes': 50.62181609056577, 'max_delay_minutes': 104.21660620795076}",0.0,0.4,0.3704543815162405,0.0,0.0,0.0,0,0.0302734375
3,2025-08-06T15:06:56.687187,"{'cost_weight': 0.771497647684864, 'service_weight': 0.6703181531391779, 'max_cascade_depth': 3, 'max_deadhead_minutes': 106.5570610412484, 'max_delay_minutes': 149.30647647263646}",0.0,0.4,0.27894748528462676,0.0,0.0,0.0,0,0.014450788497924805
4,2025-08-06T15:06:56.718813,"{'cost_weight': 0.270326105215893, 'service_weight': 0.674761987722884, 'max_cascade_depth': 3, 'max_deadhead_minutes': 95.29122743877778, 'max_delay_minutes': 35.825453446179964}",0.0,0.4,0.42838037602909157,0.0,0.0,0.0,0,0.030441761016845703
5,2025-08-06T15:06:56.749951,"{'cost_weight': 0.18639507647802472, 'service_weight': 0.10023886887076294, 'max_cascade_depth': 3, 'max_deadhead_minutes': 109.66548172122346, 'max_delay_minutes': 142.10239419398602}",0.0,0.4,0.2098262341163848,0.0,0.0,0.0,0,0.025951623916625977
6,2025-08-06T15:06:56.768684,"{'cost_weight': 0.2439990683730815, 'service_weight': 0.3449468057101129, 'max_cascade_depth': 3, 'max_deadhead_minutes': 42.285260876178064, 'max_delay_minutes': 147.12014534481324}",0.0,0.4,0.3514212299190527,0.0,0.0,0.0,0,0.013691902160644531
7,2025-08-06T15:06:56.798453,"{'cost_weight': 0.1767564081401453, 'service_weight': 0.6292538297334216, 'max_cascade_depth': 2, 'max_deadhead_minutes': 108.2509732551617, 'max_delay_minutes': 76.96018989155493}",0.0,0.4,0.4684212186139463,0.0,0.0,0.0,0,0.02576732635498047
8,2025-08-06T15:06:56.818274,"{'cost_weight': 0.10900952848403717, 'service_weight': 0.43215873914967895, 'max_cascade_depth': 2, 'max_deadhead_minutes': 118.86428324699304, 'max_delay_minutes': 132.63915660410998}",0.0,0.4,0.47913977776928435,0.0,0.0,0.0,0,0.015645503997802734
9,2025-08-06T15:06:56.836253,"{'cost_weight': 0.49231700767110775, 'service_weight': 0.6678762346090799, 'max_cascade_depth': 1, 'max_deadhead_minutes': 41.28182114089388, 'max_delay_minutes': 57.70192021691464}",0.0,0.4,0.3453956859616601,0.0,0.0,0.0,0,0.015343189239501953
10,2025-08-06T15:06:56.867676,"{'cost_weight': 0.5428619748495914, 'service_weight': 0.5436722173551451, 'max_cascade_depth': 3, 'max_deadhead_minutes': 96.87784450147409, 'max_delay_minutes': 65.3557449329463}",0.0,0.4,0.3002237138540232,0.0,0.0,0.0,0,0.027114152908325195
11,2025-08-06T15:06:56.898761,"{'cost_weight': 0.8171481349471142, 'service_weight': 0.28260566034345946, 'max_cascade_depth': 1, 'max_deadhead_minutes': 65.72169884498041, 'max_delay_minutes': 105.98473268354233}",0.0,0.4,0.15418305163591106,0.0,0.0,0.0,0,0.02108025550842285
