trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T08:34:31.514263,"{'cost_weight': 0.3869671055589723, 'service_weight': 0.29032744286834233, 'compliance_weight': 0.32270545157268526, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007452964782714844
2,2025-08-06T08:34:31.549320,"{'cost_weight': 0.4154107719504301, 'service_weight': 0.3862664163343635, 'compliance_weight': 0.19832281171520644, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008444547653198242
3,2025-08-06T08:34:31.601003,"{'cost_weight': 0.27207533964523306, 'service_weight': 0.213807880873513, 'compliance_weight': 0.514116779481254, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.021332263946533203
4,2025-08-06T08:34:31.681908,"{'cost_weight': 0.6493837246963011, 'service_weight': 0.23272613651895963, 'compliance_weight': 0.11789013878473935, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015638113021850586
5,2025-08-06T08:34:31.779917,"{'cost_weight': 0.49068915090563836, 'service_weight': 0.23219381500295863, 'compliance_weight': 0.27711703409140287, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01513814926147461
6,2025-08-06T08:34:31.863011,"{'cost_weight': 0.42802173087605405, 'service_weight': 0.48195502530312967, 'compliance_weight': 0.09002324382081626, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.012409210205078125
7,2025-08-06T08:34:31.898460,"{'cost_weight': 0.3978897558734315, 'service_weight': 0.3757420624020541, 'compliance_weight': 0.22636818172451428, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013942956924438477
8,2025-08-06T08:34:31.981204,"{'cost_weight': 0.2746410590688539, 'service_weight': 0.4248798280269027, 'compliance_weight': 0.3004791129042434, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014881610870361328
9,2025-08-06T08:34:32.065146,"{'cost_weight': 0.29223079958801934, 'service_weight': 0.3558459227163105, 'compliance_weight': 0.35192327769567017, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014755725860595703
10,2025-08-06T08:34:32.148478,"{'cost_weight': 0.40680446428811146, 'service_weight': 0.24080091351874722, 'compliance_weight': 0.3523946221931414, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01372385025024414
11,2025-08-06T08:34:32.297490,"{'cost_weight': 0.4583472910380507, 'service_weight': 0.2452495415290681, 'compliance_weight': 0.2964031674328812, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01363825798034668
12,2025-08-06T08:34:32.348492,"{'cost_weight': 0.1426517884360263, 'service_weight': 0.5917029205974375, 'compliance_weight': 0.2656452909665364, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01506185531616211
13,2025-08-06T08:34:32.431875,"{'cost_weight': 0.385812287060492, 'service_weight': 0.267775962900795, 'compliance_weight': 0.34641175003871305, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008789300918579102
14,2025-08-06T08:34:32.480015,"{'cost_weight': 0.37327258107087874, 'service_weight': 0.26319887332124026, 'compliance_weight': 0.363528545607881, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014268159866333008
15,2025-08-06T08:34:32.564154,"{'cost_weight': 0.3634806070484355, 'service_weight': 0.44311450530014196, 'compliance_weight': 0.19340488765142252, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.006556272506713867
16,2025-08-06T08:34:32.647542,"{'cost_weight': 0.5463973437525912, 'service_weight': 0.10630641269239947, 'compliance_weight': 0.34729624355500927, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007878303527832031
17,2025-08-06T08:34:32.698362,"{'cost_weight': 0.3748567265430256, 'service_weight': 0.2409286750184144, 'compliance_weight': 0.38421459843856, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015263080596923828
18,2025-08-06T08:34:32.780899,"{'cost_weight': 0.31207627398747634, 'service_weight': 0.38657601821869236, 'compliance_weight': 0.30134770779383124, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007615566253662109
19,2025-08-06T08:34:32.831765,"{'cost_weight': 0.5034684891598135, 'service_weight': 0.3366418681532133, 'compliance_weight': 0.1598896426869733, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016610383987426758
20,2025-08-06T08:34:32.981847,"{'cost_weight': 0.27014257313219375, 'service_weight': 0.5104446297030524, 'compliance_weight': 0.21941279716475393, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009985208511352539
