trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T11:18:43.040222,"{'cost_weight': 0.30232935231431873, 'service_weight': 0.44862773642112885, 'compliance_weight': 0.24904291126455247, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.011880159378051758
2,2025-08-06T11:18:43.058872,"{'cost_weight': 0.23493011716421563, 'service_weight': 0.36533206202927826, 'compliance_weight': 0.39973782080650616, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01303720474243164
3,2025-08-06T11:18:43.074116,"{'cost_weight': 0.3453374121930104, 'service_weight': 0.29490520841557216, 'compliance_weight': 0.35975737939141744, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010156631469726562
4,2025-08-06T11:18:43.093482,"{'cost_weight': 0.38930085641685397, 'service_weight': 0.23280776264332492, 'compliance_weight': 0.37789138093982105, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015755653381347656
5,2025-08-06T11:18:43.109539,"{'cost_weight': 0.6245109553043654, 'service_weight': 0.14630029771769262, 'compliance_weight': 0.22918874697794198, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015369653701782227
6,2025-08-06T11:18:43.126105,"{'cost_weight': 0.3459893574212085, 'service_weight': 0.36867164732055685, 'compliance_weight': 0.28533899525823475, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015213251113891602
7,2025-08-06T11:18:43.143184,"{'cost_weight': 0.4322052069568509, 'service_weight': 0.2838339647781945, 'compliance_weight': 0.28396082826495467, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010894536972045898
8,2025-08-06T11:18:43.158966,"{'cost_weight': 0.5951636684059151, 'service_weight': 0.2334292712321215, 'compliance_weight': 0.17140706036196335, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014615774154663086
9,2025-08-06T11:18:43.173707,"{'cost_weight': 0.42624772302276404, 'service_weight': 0.29811725546871576, 'compliance_weight': 0.2756350215085202, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013588428497314453
10,2025-08-06T11:18:43.192177,"{'cost_weight': 0.2757278960529603, 'service_weight': 0.3746141208056653, 'compliance_weight': 0.3496579831413745, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014483451843261719
11,2025-08-06T11:18:43.209861,"{'cost_weight': 0.151046053611468, 'service_weight': 0.7124682771443344, 'compliance_weight': 0.13648566924419764, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015605688095092773
12,2025-08-06T11:18:43.240972,"{'cost_weight': 0.20250574179806846, 'service_weight': 0.38872521285537903, 'compliance_weight': 0.40876904534655256, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.03000926971435547
13,2025-08-06T11:18:43.260309,"{'cost_weight': 0.18077369682752348, 'service_weight': 0.4091207196526596, 'compliance_weight': 0.4101055835198169, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.018542766571044922
14,2025-08-06T11:18:43.276399,"{'cost_weight': 0.3340908457183583, 'service_weight': 0.3311883696059443, 'compliance_weight': 0.33472078467569744, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01609015464782715
15,2025-08-06T11:18:43.306882,"{'cost_weight': 0.21800686099396654, 'service_weight': 0.5273546542031019, 'compliance_weight': 0.2546384848029315, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016610145568847656
16,2025-08-06T11:18:43.326701,"{'cost_weight': 0.24949344795648812, 'service_weight': 0.4145601584645117, 'compliance_weight': 0.3359463935790001, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015492439270019531
17,2025-08-06T11:18:43.360273,"{'cost_weight': 0.27693546224216875, 'service_weight': 0.427414113499676, 'compliance_weight': 0.2956504242581553, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.03250598907470703
18,2025-08-06T11:18:43.392749,"{'cost_weight': 0.2682308828287952, 'service_weight': 0.33669827689205784, 'compliance_weight': 0.3950708402791469, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.029543399810791016
19,2025-08-06T11:18:43.423611,"{'cost_weight': 0.36780937561426397, 'service_weight': 0.4026250869363167, 'compliance_weight': 0.22956553744941938, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.029744625091552734
20,2025-08-06T11:18:43.440442,"{'cost_weight': 0.4912461919389303, 'service_weight': 0.286461797148025, 'compliance_weight': 0.22229201091304468, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013943672180175781
