trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T12:03:50.170137,"{'cost_weight': 0.37664614990132694, 'service_weight': 0.33798966488346893, 'compliance_weight': 0.2853641852152042, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.035164833068847656
2,2025-08-06T12:03:50.201923,"{'cost_weight': 0.20108370831982486, 'service_weight': 0.1428171882051723, 'compliance_weight': 0.6560991034750028, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.02980208396911621
3,2025-08-06T12:03:50.233630,"{'cost_weight': 0.575836042624267, 'service_weight': 0.2922771877426564, 'compliance_weight': 0.1318867696330766, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.029575824737548828
4,2025-08-06T12:03:50.249349,"{'cost_weight': 0.31348443705116624, 'service_weight': 0.5526449019311318, 'compliance_weight': 0.13387066101770198, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.013803958892822266
5,2025-08-06T12:03:50.282474,"{'cost_weight': 0.4457087192722426, 'service_weight': 0.43230144097678985, 'compliance_weight': 0.12198983975096767, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.032120466232299805
6,2025-08-06T12:03:50.300205,"{'cost_weight': 0.4610263247759236, 'service_weight': 0.30882016030252696, 'compliance_weight': 0.23015351492154945, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.015346050262451172
7,2025-08-06T12:03:50.332958,"{'cost_weight': 0.1483274744398232, 'service_weight': 0.4149958647605809, 'compliance_weight': 0.43667666079959594, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.031130075454711914
8,2025-08-06T12:03:50.366662,"{'cost_weight': 0.3300930045302598, 'service_weight': 0.3366628401533687, 'compliance_weight': 0.3332441553163715, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.0290224552154541
9,2025-08-06T12:03:50.399954,"{'cost_weight': 0.6431001296870453, 'service_weight': 0.17307517248924245, 'compliance_weight': 0.18382469782371214, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.02832198143005371
10,2025-08-06T12:03:50.416081,"{'cost_weight': 0.36653767546607674, 'service_weight': 0.23420791688619064, 'compliance_weight': 0.3992544076477327, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.015760421752929688
11,2025-08-06T12:03:50.449751,"{'cost_weight': 0.4535245166575444, 'service_weight': 0.31626833315360897, 'compliance_weight': 0.23020715018884663, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.03205609321594238
12,2025-08-06T12:03:50.482821,"{'cost_weight': 0.12860405154342744, 'service_weight': 0.1502265321804132, 'compliance_weight': 0.7211694162761594, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.02709507942199707
13,2025-08-06T12:03:50.516337,"{'cost_weight': 0.2577906454839669, 'service_weight': 0.27117025067400846, 'compliance_weight': 0.4710391038420247, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.033516645431518555
14,2025-08-06T12:03:50.549140,"{'cost_weight': 0.38403415339485936, 'service_weight': 0.10422428524201034, 'compliance_weight': 0.5117415613631303, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.0317988395690918
15,2025-08-06T12:03:50.582502,"{'cost_weight': 0.2316384161356845, 'service_weight': 0.30285744976095963, 'compliance_weight': 0.4655041341033559, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.024586915969848633
16,2025-08-06T12:03:50.617581,"{'cost_weight': 0.3539375467626083, 'service_weight': 0.39561762698224984, 'compliance_weight': 0.2504448262551418, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.03331470489501953
17,2025-08-06T12:03:50.649316,"{'cost_weight': 0.45063491325086885, 'service_weight': 0.26204884610741247, 'compliance_weight': 0.28731624064171873, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.02271723747253418
18,2025-08-06T12:03:50.682607,"{'cost_weight': 0.20062364115749404, 'service_weight': 0.20358267535822255, 'compliance_weight': 0.5957936834842834, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.03216242790222168
19,2025-08-06T12:03:50.716907,"{'cost_weight': 0.3097318865010077, 'service_weight': 0.3034645360375102, 'compliance_weight': 0.38680357746148203, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.025897502899169922
20,2025-08-06T12:03:50.752071,"{'cost_weight': 0.39943524974935685, 'service_weight': 0.3560945961052923, 'compliance_weight': 0.2444701541453509, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,600.0,1.0,0,0.031812429428100586
