trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T08:12:35.665125,"{'cost_weight': 0.2385084310303823, 'service_weight': 0.3916975604816055, 'compliance_weight': 0.3697940084880122, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016839981079101562
2,2025-08-06T08:12:35.714302,"{'cost_weight': 0.30867216099053085, 'service_weight': 0.35333646796616064, 'compliance_weight': 0.33799137104330845, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.020133018493652344
3,2025-08-06T08:12:35.759848,"{'cost_weight': 0.4309121598248237, 'service_weight': 0.3629775180552784, 'compliance_weight': 0.20611032211989794, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.017452001571655273
4,2025-08-06T08:12:35.810829,"{'cost_weight': 0.5695653530148632, 'service_weight': 0.2190197066739905, 'compliance_weight': 0.21141494031114622, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.02732539176940918
5,2025-08-06T08:12:35.893145,"{'cost_weight': 0.46724379506149094, 'service_weight': 0.17567761382334998, 'compliance_weight': 0.3570785911151591, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.012497186660766602
6,2025-08-06T08:12:35.977900,"{'cost_weight': 0.23993869090756725, 'service_weight': 0.43066587585911925, 'compliance_weight': 0.3293954332333136, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016669750213623047
7,2025-08-06T08:12:36.059944,"{'cost_weight': 0.3074349498687502, 'service_weight': 0.3220038870415643, 'compliance_weight': 0.3705611630896856, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014487028121948242
8,2025-08-06T08:12:36.161061,"{'cost_weight': 0.18875868694990722, 'service_weight': 0.3958553699945034, 'compliance_weight': 0.4153859430555894, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015407562255859375
9,2025-08-06T08:12:36.194281,"{'cost_weight': 0.40775634680873113, 'service_weight': 0.37402481500695794, 'compliance_weight': 0.21821883818431093, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.012193679809570312
10,2025-08-06T08:12:36.244033,"{'cost_weight': 0.5275995521085376, 'service_weight': 0.3262154949202624, 'compliance_weight': 0.1461849529712, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.03098893165588379
11,2025-08-06T08:12:36.326183,"{'cost_weight': 0.26475031028110707, 'service_weight': 0.2634578327588219, 'compliance_weight': 0.4717918569600711, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007999897003173828
12,2025-08-06T08:12:36.411159,"{'cost_weight': 0.32300178379831096, 'service_weight': 0.305859356198022, 'compliance_weight': 0.3711388600036671, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015670061111450195
13,2025-08-06T08:12:36.493266,"{'cost_weight': 0.4014101783399648, 'service_weight': 0.2686160788922205, 'compliance_weight': 0.32997374276781477, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013963937759399414
14,2025-08-06T08:12:36.575861,"{'cost_weight': 0.23463176345816497, 'service_weight': 0.34239432772035433, 'compliance_weight': 0.4229739088214807, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007001638412475586
15,2025-08-06T08:12:36.660008,"{'cost_weight': 0.4273972226566755, 'service_weight': 0.24459356481762726, 'compliance_weight': 0.3280092125256972, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014652490615844727
16,2025-08-06T08:12:36.709057,"{'cost_weight': 0.3976685888952045, 'service_weight': 0.13895167519796608, 'compliance_weight': 0.4633797359068294, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014771461486816406
17,2025-08-06T08:12:36.859276,"{'cost_weight': 0.3880880594411763, 'service_weight': 0.39864924890223313, 'compliance_weight': 0.21326269165659054, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01610398292541504
18,2025-08-06T08:12:36.943243,"{'cost_weight': 0.17036217808158846, 'service_weight': 0.45896780408583204, 'compliance_weight': 0.3706700178325794, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015995264053344727
19,2025-08-06T08:12:36.994212,"{'cost_weight': 0.5182650541387793, 'service_weight': 0.23151857276091495, 'compliance_weight': 0.2502163731003058, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0186614990234375
20,2025-08-06T08:12:37.076647,"{'cost_weight': 0.33441587277921114, 'service_weight': 0.296453577204837, 'compliance_weight': 0.36913055001595185, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007536172866821289
