trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T11:59:51.684632,"{'cost_weight': 0.47597581963997593, 'service_weight': 0.33925385591246493, 'compliance_weight': 0.18477032444755906, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.019564390182495117
2,2025-08-06T11:59:51.713909,"{'cost_weight': 0.3248917763974627, 'service_weight': 0.2626449166160843, 'compliance_weight': 0.4124633069864531, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.028276681900024414
3,2025-08-06T11:59:51.731747,"{'cost_weight': 0.27426947512581934, 'service_weight': 0.520029732017014, 'compliance_weight': 0.20570079285716666, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015833616256713867
4,2025-08-06T11:59:51.751406,"{'cost_weight': 0.4840597859451583, 'service_weight': 0.18652787220302625, 'compliance_weight': 0.32941234185181534, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.013234376907348633
5,2025-08-06T11:59:51.767829,"{'cost_weight': 0.4994497522672395, 'service_weight': 0.296202178560454, 'compliance_weight': 0.20434806917230663, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015644550323486328
6,2025-08-06T11:59:51.781790,"{'cost_weight': 0.15778250418595924, 'service_weight': 0.3318518727004611, 'compliance_weight': 0.5103656231135796, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.013960123062133789
7,2025-08-06T11:59:51.798417,"{'cost_weight': 0.43688688347295546, 'service_weight': 0.32204182618550103, 'compliance_weight': 0.24107129034154356, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015623807907104492
8,2025-08-06T11:59:51.815933,"{'cost_weight': 0.3292287699761646, 'service_weight': 0.3964982690727969, 'compliance_weight': 0.2742729609510385, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.014060020446777344
9,2025-08-06T11:59:51.834379,"{'cost_weight': 0.41838654600527314, 'service_weight': 0.28833234407830055, 'compliance_weight': 0.29328110991642636, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.016446828842163086
10,2025-08-06T11:59:51.850473,"{'cost_weight': 0.399834322538134, 'service_weight': 0.3224579846723436, 'compliance_weight': 0.2777076927895224, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015092849731445312
11,2025-08-06T11:59:51.881737,"{'cost_weight': 0.33606444735763746, 'service_weight': 0.4031382730435241, 'compliance_weight': 0.26079727959883847, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.022961854934692383
12,2025-08-06T11:59:51.916096,"{'cost_weight': 0.35586205801254206, 'service_weight': 0.18486156946406532, 'compliance_weight': 0.45927637252339265, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03435873985290527
13,2025-08-06T11:59:51.947229,"{'cost_weight': 0.39742968593398487, 'service_weight': 0.2537003482118149, 'compliance_weight': 0.3488699658542002, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015464067459106445
14,2025-08-06T11:59:51.984238,"{'cost_weight': 0.3773431990708544, 'service_weight': 0.2637476196982011, 'compliance_weight': 0.3589091812309446, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03570985794067383
15,2025-08-06T11:59:52.014099,"{'cost_weight': 0.13525873267477354, 'service_weight': 0.3882728402022447, 'compliance_weight': 0.4764684271229817, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.01469874382019043
16,2025-08-06T11:59:52.034131,"{'cost_weight': 0.6218556184957674, 'service_weight': 0.21642397110002148, 'compliance_weight': 0.16172041040421106, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.019115447998046875
17,2025-08-06T11:59:52.065059,"{'cost_weight': 0.39031851825346175, 'service_weight': 0.28377941930605055, 'compliance_weight': 0.3259020624404877, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.016618013381958008
18,2025-08-06T11:59:52.100560,"{'cost_weight': 0.17949765695960657, 'service_weight': 0.3979995296448321, 'compliance_weight': 0.4225028133955613, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03433561325073242
19,2025-08-06T11:59:52.132051,"{'cost_weight': 0.3741254543798252, 'service_weight': 0.32503243416983557, 'compliance_weight': 0.3008421114503393, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03149127960205078
20,2025-08-06T11:59:52.164797,"{'cost_weight': 0.48010431956713534, 'service_weight': 0.1719806654960264, 'compliance_weight': 0.3479150149368383, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03200864791870117
