trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T14:22:49.278169,"{'cost_weight': 0.7135403157911462, 'service_weight': 0.1430329788363074, 'max_cascade_depth': 2, 'max_deadhead_minutes': 105.45217047140014, 'max_delay_minutes': 174.85951417586995}",0.0,0.4,0.10018966017275815,0.0,0.0,0.0,0,0.028641223907470703
2,2025-08-06T14:22:49.312233,"{'cost_weight': 0.8386621356358145, 'service_weight': 0.6421104084545016, 'max_cascade_depth': 2, 'max_deadhead_minutes': 104.56322940234665, 'max_delay_minutes': 169.9359194346444}",0.0,0.4,0.260179219698716,0.0,0.0,0.0,0,0.0280609130859375
3,2025-08-06T14:22:49.342649,"{'cost_weight': 0.21811796670744057, 'service_weight': 0.2671048495676057, 'max_cascade_depth': 3, 'max_deadhead_minutes': 59.89866783835643, 'max_delay_minutes': 99.71638879283786}",0.0,0.4,0.3302872502387009,0.0,0.0,0.0,0,0.026269197463989258
4,2025-08-06T14:22:49.359192,"{'cost_weight': 0.8295787990561989, 'service_weight': 0.15069374873014524, 'max_cascade_depth': 2, 'max_deadhead_minutes': 104.51645722301659, 'max_delay_minutes': 75.30558258926091}",0.0,0.4,0.0922358271097824,0.0,0.0,0.0,0,0.014006376266479492
5,2025-08-06T14:22:49.392631,"{'cost_weight': 0.23834669246491222, 'service_weight': 0.7589409847921408, 'max_cascade_depth': 3, 'max_deadhead_minutes': 99.40490122227153, 'max_delay_minutes': 161.4031270796218}",0.0,0.4,0.45660304570063714,0.0,0.0,0.0,0,0.03230595588684082
6,2025-08-06T14:22:49.423108,"{'cost_weight': 0.11701037448480847, 'service_weight': 0.2841722652263517, 'max_cascade_depth': 1, 'max_deadhead_minutes': 117.17705818917226, 'max_delay_minutes': 55.05215696715018}",0.0,0.4,0.42500183771303873,0.0,0.0,0.0,0,0.026474714279174805
7,2025-08-06T14:22:49.442360,"{'cost_weight': 0.8446241937444742, 'service_weight': 0.5730932439931015, 'max_cascade_depth': 2, 'max_deadhead_minutes': 50.62209091628866, 'max_delay_minutes': 55.64399419860254}",0.0,0.4,0.24254194611910374,0.0,0.0,0.0,0,0.015190362930297852
8,2025-08-06T14:22:49.475872,"{'cost_weight': 0.859051690681686, 'service_weight': 0.5758746507277671, 'max_cascade_depth': 2, 'max_deadhead_minutes': 53.069437028628684, 'max_delay_minutes': 87.57770034437061}",0.0,0.4,0.24079618616330462,0.0,0.0,0.0,0,0.03250885009765625
9,2025-08-06T14:22:49.508894,"{'cost_weight': 0.5086039243554099, 'service_weight': 0.616915324256354, 'max_cascade_depth': 3, 'max_deadhead_minutes': 80.69723530144006, 'max_delay_minutes': 51.08237501985431}",0.0,0.4,0.32886971503184975,0.0,0.0,0.0,0,0.02734088897705078
10,2025-08-06T14:22:49.543651,"{'cost_weight': 0.7934162986790617, 'service_weight': 0.19009222593019431, 'max_cascade_depth': 3, 'max_deadhead_minutes': 91.18959321761865, 'max_delay_minutes': 37.89556423064507}",0.0,0.4,0.11596781594082298,0.0,0.0,0.0,0,0.03265070915222168
11,2025-08-06T14:22:49.575850,"{'cost_weight': 0.6094977541497925, 'service_weight': 0.40774768275145323, 'max_cascade_depth': 1, 'max_deadhead_minutes': 69.19910553931925, 'max_delay_minutes': 141.28237286504861}",0.0,0.4,0.240501063731606,0.0,0.0,0.0,0,0.020217180252075195
12,2025-08-06T14:22:49.609295,"{'cost_weight': 0.6568339136770189, 'service_weight': 0.8800255278707549, 'max_cascade_depth': 2, 'max_deadhead_minutes': 116.92042929447521, 'max_delay_minutes': 176.19170858696504}",0.0,0.4,0.34356773459431517,0.0,0.0,0.0,0,0.03235220909118652
13,2025-08-06T14:22:49.642151,"{'cost_weight': 0.6958541724807503, 'service_weight': 0.43535719331584855, 'max_cascade_depth': 2, 'max_deadhead_minutes': 86.72488071052192, 'max_delay_minutes': 134.57535893295926}",0.0,0.4,0.2309155688208296,0.0,0.0,0.0,0,0.018857240676879883
14,2025-08-06T14:22:49.676001,"{'cost_weight': 0.47642163016690403, 'service_weight': 0.7210839045380965, 'max_cascade_depth': 1, 'max_deadhead_minutes': 103.93953421913899, 'max_delay_minutes': 128.2540313996241}",0.0,0.4,0.36129297960150064,0.0,0.0,0.0,0,0.0322268009185791
15,2025-08-06T14:22:49.710301,"{'cost_weight': 0.7415608359877028, 'service_weight': 0.36622968763021035, 'max_cascade_depth': 2, 'max_deadhead_minutes': 31.873761825138466, 'max_delay_minutes': 179.2984989004928}",0.0,0.4,0.19835682639754712,0.0,0.0,0.0,0,0.02120804786682129
16,2025-08-06T14:22:49.739254,"{'cost_weight': 0.5422393696674696, 'service_weight': 0.10591449177803056, 'max_cascade_depth': 1, 'max_deadhead_minutes': 98.01624158316312, 'max_delay_minutes': 154.13479361658818}",0.0,0.4,0.0980456938497493,0.0,0.0,0.0,0,0.017871618270874023
17,2025-08-06T14:22:49.766972,"{'cost_weight': 0.8907311141372772, 'service_weight': 0.6887400049389609, 'max_cascade_depth': 2, 'max_deadhead_minutes': 111.80659159142374, 'max_delay_minutes': 123.13433275701667}",0.0,0.4,0.2616344154523474,0.0,0.0,0.0,0,0.015030384063720703
18,2025-08-06T14:22:49.798054,"{'cost_weight': 0.3479440594840917, 'service_weight': 0.48835056712800967, 'max_cascade_depth': 3, 'max_deadhead_minutes': 73.58309408216864, 'max_delay_minutes': 160.08859908577122}",0.0,0.4,0.35036735972322924,0.0,0.0,0.0,0,0.017307758331298828
19,2025-08-06T14:22:49.831644,"{'cost_weight': 0.7649068348110462, 'service_weight': 0.8132169686455986, 'max_cascade_depth': 1, 'max_deadhead_minutes': 90.41503185997561, 'max_delay_minutes': 113.62469067789041}",0.0,0.4,0.3091837155732782,0.0,0.0,0.0,0,0.02210068702697754
20,2025-08-06T14:22:49.861832,"{'cost_weight': 0.4100607044740533, 'service_weight': 0.6455406258889215, 'max_cascade_depth': 2, 'max_deadhead_minutes': 107.02239665493214, 'max_delay_minutes': 143.86788137259265}",0.0,0.4,0.3669229702468915,0.0,0.0,0.0,0,0.0185854434967041
