trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T12:59:19.145267,"{'cost_weight': 0.11589480837583449, 'service_weight': 0.7321703863295871, 'max_cascade_depth': 3, 'max_deadhead_minutes': 36.713052517398225, 'max_delay_minutes': 167.13609897388264}",0.0,0.4,0.5180052601384559,0.0,0.0,0.0,0,0.034792184829711914
2,2025-08-06T12:59:19.178219,"{'cost_weight': 0.43627943756679066, 'service_weight': 0.3397673602241209, 'max_cascade_depth': 3, 'max_deadhead_minutes': 86.76569773309623, 'max_delay_minutes': 43.45368475942645}",0.0,0.4,0.2626908798731983,0.0,0.0,0.0,0,0.032952308654785156
3,2025-08-06T12:59:19.210618,"{'cost_weight': 0.12791939343551714, 'service_weight': 0.4420184398257736, 'max_cascade_depth': 2, 'max_deadhead_minutes': 75.6123235914369, 'max_delay_minutes': 106.33720144831686}",0.0,0.4,0.46533331956202467,0.0,0.0,0.0,0,0.02793574333190918
4,2025-08-06T12:59:19.227192,"{'cost_weight': 0.8341966707977565, 'service_weight': 0.3217824488606562, 'max_cascade_depth': 1, 'max_deadhead_minutes': 94.5634133496374, 'max_delay_minutes': 32.58818730730032}",0.0,0.4,0.16701812864357357,0.0,0.0,0.0,0,0.016573429107666016
5,2025-08-06T12:59:19.259986,"{'cost_weight': 0.6835683108450682, 'service_weight': 0.5826535768886854, 'max_cascade_depth': 3, 'max_deadhead_minutes': 72.45811157012787, 'max_delay_minutes': 149.0366691908208}",0.0,0.4,0.2760907464322078,0.0,0.0,0.0,0,0.03195905685424805
6,2025-08-06T12:59:19.291170,"{'cost_weight': 0.21916064423975642, 'service_weight': 0.27091887340571696, 'max_cascade_depth': 3, 'max_deadhead_minutes': 50.24676279214241, 'max_delay_minutes': 125.36902398468156}",0.0,0.4,0.331683570095702,0.0,0.0,0.0,0,0.026116132736206055
7,2025-08-06T12:59:19.310180,"{'cost_weight': 0.5429783252599457, 'service_weight': 0.8291623011247936, 'max_cascade_depth': 3, 'max_deadhead_minutes': 107.63267061022282, 'max_delay_minutes': 98.40989635026165}",0.0,0.4,0.36257025782092184,0.0,0.0,0.0,0,0.016149520874023438
8,2025-08-06T12:59:19.343823,"{'cost_weight': 0.6155155177559951, 'service_weight': 0.7514252398410649, 'max_cascade_depth': 2, 'max_deadhead_minutes': 34.03889375863072, 'max_delay_minutes': 64.2968004040498}",0.0,0.4,0.3298278593266876,0.0,0.0,0.0,0,0.03231978416442871
9,2025-08-06T12:59:19.378851,"{'cost_weight': 0.848305131684539, 'service_weight': 0.43347590731692365, 'max_cascade_depth': 3, 'max_deadhead_minutes': 118.49778323861166, 'max_delay_minutes': 104.70111585584604}",0.0,0.4,0.20290949583149312,0.0,0.0,0.0,0,0.029036521911621094
10,2025-08-06T12:59:19.410181,"{'cost_weight': 0.6511139393902832, 'service_weight': 0.8981469266426749, 'max_cascade_depth': 2, 'max_deadhead_minutes': 73.79882921341348, 'max_delay_minutes': 70.56356503564585}",0.0,0.4,0.3478356471789567,0.0,0.0,0.0,0,0.028330087661743164
