trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T10:59:05.406462,"{'cost_weight': 0.5003964601123393, 'service_weight': 0.1736004502702534, 'compliance_weight': 0.3260030896174073, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.02127695083618164
2,2025-08-06T10:59:05.421291,"{'cost_weight': 0.4692148478068204, 'service_weight': 0.2177826623830759, 'compliance_weight': 0.31300248981010376, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013605833053588867
3,2025-08-06T10:59:05.436167,"{'cost_weight': 0.3939768249802516, 'service_weight': 0.12856649302978415, 'compliance_weight': 0.4774566819899643, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.011850357055664062
4,2025-08-06T10:59:05.455989,"{'cost_weight': 0.4009570427310537, 'service_weight': 0.2953078367348574, 'compliance_weight': 0.3037351205340889, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015687227249145508
5,2025-08-06T10:59:05.470017,"{'cost_weight': 0.4059415563872987, 'service_weight': 0.315999501889612, 'compliance_weight': 0.27805894172308937, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014028310775756836
6,2025-08-06T10:59:05.486166,"{'cost_weight': 0.5455548160016456, 'service_weight': 0.10868532028024805, 'compliance_weight': 0.3457598637181064, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015143156051635742
7,2025-08-06T10:59:05.504840,"{'cost_weight': 0.3926369892881432, 'service_weight': 0.2520137391243857, 'compliance_weight': 0.3553492715874711, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014676094055175781
8,2025-08-06T10:59:05.522127,"{'cost_weight': 0.4278925979934913, 'service_weight': 0.30860526196773014, 'compliance_weight': 0.2635021400387786, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01593613624572754
9,2025-08-06T10:59:05.538181,"{'cost_weight': 0.4756081131403543, 'service_weight': 0.25561284298070486, 'compliance_weight': 0.2687790438789408, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015053987503051758
10,2025-08-06T10:59:05.553851,"{'cost_weight': 0.25786228778335196, 'service_weight': 0.4042588695103238, 'compliance_weight': 0.3378788427063242, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01294255256652832
11,2025-08-06T10:59:05.572882,"{'cost_weight': 0.16424325990203645, 'service_weight': 0.24742509571013688, 'compliance_weight': 0.5883316443878267, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01363825798034668
12,2025-08-06T10:59:05.602894,"{'cost_weight': 0.36759246401920953, 'service_weight': 0.4470294220536292, 'compliance_weight': 0.1853781139271612, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.028958797454833984
13,2025-08-06T10:59:05.623408,"{'cost_weight': 0.45154524750120195, 'service_weight': 0.20725253697573168, 'compliance_weight': 0.3412022155230663, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007589817047119141
14,2025-08-06T10:59:05.639521,"{'cost_weight': 0.5076976192769715, 'service_weight': 0.20662383714575897, 'compliance_weight': 0.28567854357726963, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.00681757926940918
15,2025-08-06T10:59:05.672874,"{'cost_weight': 0.346622884699608, 'service_weight': 0.2733110767518739, 'compliance_weight': 0.38006603854851806, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.021057844161987305
16,2025-08-06T10:59:05.704840,"{'cost_weight': 0.5110078164319091, 'service_weight': 0.2441078701635349, 'compliance_weight': 0.24488431340455594, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0186769962310791
17,2025-08-06T10:59:05.737169,"{'cost_weight': 0.6780992725253957, 'service_weight': 0.16979496708499028, 'compliance_weight': 0.152105760389614, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.030349254608154297
18,2025-08-06T10:59:05.754223,"{'cost_weight': 0.3727417533618777, 'service_weight': 0.24582970352526418, 'compliance_weight': 0.38142854311285807, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014631032943725586
19,2025-08-06T10:59:05.772808,"{'cost_weight': 0.10359255326038956, 'service_weight': 0.4854560038358615, 'compliance_weight': 0.4109514429037489, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.018584251403808594
20,2025-08-06T10:59:05.803824,"{'cost_weight': 0.533961256851442, 'service_weight': 0.20468456979927666, 'compliance_weight': 0.2613541733492814, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.017681360244750977
