trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T11:52:24.533055,"{'cost_weight': 0.22190547628544932, 'service_weight': 0.3117650338794647, 'compliance_weight': 0.466329489835086, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.01961803436279297
2,2025-08-06T11:52:24.563859,"{'cost_weight': 0.41379485189983484, 'service_weight': 0.3541358258687194, 'compliance_weight': 0.23206932223144588, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.021915435791015625
3,2025-08-06T11:52:24.582982,"{'cost_weight': 0.2815006867591069, 'service_weight': 0.5035888547977713, 'compliance_weight': 0.21491045844312184, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.014847040176391602
4,2025-08-06T11:52:24.598111,"{'cost_weight': 0.17107053706442815, 'service_weight': 0.6286563965299098, 'compliance_weight': 0.2002730664056621, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015129327774047852
5,2025-08-06T11:52:24.613739,"{'cost_weight': 0.2273639902406799, 'service_weight': 0.26041971530231295, 'compliance_weight': 0.5122162944570071, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.012789487838745117
6,2025-08-06T11:52:24.633528,"{'cost_weight': 0.6536873721894806, 'service_weight': 0.18399552086684723, 'compliance_weight': 0.1623171069436722, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.013204574584960938
7,2025-08-06T11:52:24.666393,"{'cost_weight': 0.28151737105701735, 'service_weight': 0.31375716269741377, 'compliance_weight': 0.4047254662455688, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.02525162696838379
8,2025-08-06T11:52:24.683722,"{'cost_weight': 0.4262550371691064, 'service_weight': 0.23702426296673254, 'compliance_weight': 0.33672069986416103, 'max_cascade_depth': 3}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.015593290328979492
9,2025-08-06T11:52:24.700199,"{'cost_weight': 0.13993426105122897, 'service_weight': 0.41842661798978065, 'compliance_weight': 0.4416391209589904, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.009641170501708984
10,2025-08-06T11:52:24.717484,"{'cost_weight': 0.3993486180479532, 'service_weight': 0.42680020118181616, 'compliance_weight': 0.1738511807702307, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.013821840286254883
11,2025-08-06T11:52:24.748656,"{'cost_weight': 0.2854221263675068, 'service_weight': 0.26455800599796025, 'compliance_weight': 0.4500198676345329, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.01829671859741211
12,2025-08-06T11:52:24.781300,"{'cost_weight': 0.47182091635893797, 'service_weight': 0.2594354771262558, 'compliance_weight': 0.2687436065148062, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.017611265182495117
13,2025-08-06T11:52:24.816040,"{'cost_weight': 0.20999895685913306, 'service_weight': 0.3938820145448142, 'compliance_weight': 0.39611902859605286, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03164315223693848
14,2025-08-06T11:52:24.846856,"{'cost_weight': 0.4804344732426672, 'service_weight': 0.2294651826501988, 'compliance_weight': 0.29010034410713403, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.02218794822692871
15,2025-08-06T11:52:24.880390,"{'cost_weight': 0.40091194146993625, 'service_weight': 0.24825325555722078, 'compliance_weight': 0.35083480297284303, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.023356199264526367
16,2025-08-06T11:52:24.914321,"{'cost_weight': 0.2664810578711655, 'service_weight': 0.29225930169632297, 'compliance_weight': 0.44125964043251154, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.03338217735290527
17,2025-08-06T11:52:24.930800,"{'cost_weight': 0.28953995880203276, 'service_weight': 0.35156341752954395, 'compliance_weight': 0.35889662366842323, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.016478776931762695
18,2025-08-06T11:52:24.963694,"{'cost_weight': 0.5008475613332661, 'service_weight': 0.27007646504239585, 'compliance_weight': 0.22907597362433801, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.016669511795043945
19,2025-08-06T11:52:24.997627,"{'cost_weight': 0.44543903617981395, 'service_weight': 0.3322692543907655, 'compliance_weight': 0.22229170942942061, 'max_cascade_depth': 1}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.02371835708618164
20,2025-08-06T11:52:25.030433,"{'cost_weight': 0.22545641584096063, 'service_weight': 0.3637093050038195, 'compliance_weight': 0.4108342791552198, 'max_cascade_depth': 2}",0.02,1.0,1.0,0.008,1.0,300.0,1.0,0,0.01894545555114746
