trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-05T23:56:40.728011,"{'cost_weight': 0.6142298036654472, 'service_weight': 0.22250286516057088, 'compliance_weight': 0.1632673311739818, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008001565933227539
2,2025-08-05T23:56:40.805242,"{'cost_weight': 0.5197497767501243, 'service_weight': 0.1526802375934818, 'compliance_weight': 0.32756998565639384, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01123046875
3,2025-08-05T23:56:40.884575,"{'cost_weight': 0.30279935754398213, 'service_weight': 0.3374372149402864, 'compliance_weight': 0.35976342751573154, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010361433029174805
4,2025-08-05T23:56:40.932107,"{'cost_weight': 0.4614053041703634, 'service_weight': 0.3110393040637043, 'compliance_weight': 0.22755539176593229, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.020005226135253906
5,2025-08-05T23:56:41.011250,"{'cost_weight': 0.24930034752253144, 'service_weight': 0.23796869723541303, 'compliance_weight': 0.5127309552420555, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01100015640258789
6,2025-08-05T23:56:41.090965,"{'cost_weight': 0.4644587818694048, 'service_weight': 0.13203854376933286, 'compliance_weight': 0.40350267436126236, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.012720584869384766
7,2025-08-05T23:56:41.168495,"{'cost_weight': 0.40109562926001113, 'service_weight': 0.21585374568557233, 'compliance_weight': 0.38305062505441645, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01000356674194336
8,2025-08-05T23:56:41.295723,"{'cost_weight': 0.3660409575259107, 'service_weight': 0.4222032963564369, 'compliance_weight': 0.21175574611765244, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.017000198364257812
9,2025-08-05T23:56:41.373228,"{'cost_weight': 0.30273374236849837, 'service_weight': 0.2571274123975044, 'compliance_weight': 0.4401388452339972, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010233879089355469
10,2025-08-05T23:56:41.451174,"{'cost_weight': 0.37483477966575857, 'service_weight': 0.3046030023715439, 'compliance_weight': 0.3205622179626976, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010946512222290039
11,2025-08-05T23:56:41.498657,"{'cost_weight': 0.2849727744938281, 'service_weight': 0.47357899145891436, 'compliance_weight': 0.24144823404725763, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.006995439529418945
12,2025-08-05T23:56:41.577659,"{'cost_weight': 0.7097075735655969, 'service_weight': 0.11366580819833128, 'compliance_weight': 0.1766266182360719, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007000923156738281
13,2025-08-05T23:56:41.703475,"{'cost_weight': 0.35609678283229407, 'service_weight': 0.28977954101293507, 'compliance_weight': 0.3541236761547708, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016637325286865234
14,2025-08-05T23:56:41.799734,"{'cost_weight': 0.6451324261992315, 'service_weight': 0.11207980293185821, 'compliance_weight': 0.24278777086891024, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.02300119400024414
15,2025-08-05T23:56:41.893873,"{'cost_weight': 0.40541064693772216, 'service_weight': 0.26521978512241695, 'compliance_weight': 0.3293695679398609, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.020063161849975586
16,2025-08-05T23:56:41.989268,"{'cost_weight': 0.2712988846563333, 'service_weight': 0.5135251910660676, 'compliance_weight': 0.21517592427759907, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.02139759063720703
17,2025-08-05T23:56:42.083420,"{'cost_weight': 0.47434830604323086, 'service_weight': 0.26972854330158663, 'compliance_weight': 0.2559231506551826, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.019711732864379883
18,2025-08-05T23:56:42.211512,"{'cost_weight': 0.4255570561024894, 'service_weight': 0.432945739859556, 'compliance_weight': 0.14149720403795463, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.017096281051635742
19,2025-08-05T23:56:42.257920,"{'cost_weight': 0.5115783996215811, 'service_weight': 0.18223833135138393, 'compliance_weight': 0.3061832690270349, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.012006282806396484
20,2025-08-05T23:56:42.337987,"{'cost_weight': 0.3288774143904251, 'service_weight': 0.5019204923150284, 'compliance_weight': 0.16920209329454636, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.006750583648681641
