trial_id,timestamp,parameters,cost_score,service_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T12:38:38.466906,"{'cost_weight': 0.6680393040953833, 'service_weight': 0.2993423105207623, 'max_cascade_depth': 3, 'max_deadhead_minutes': 86.2331769177951, 'max_delay_minutes': 38.58882297147469}",0.02,1.0,0.013811287996422372,1.0,600.0,1.0,0,0.022233963012695312
2,2025-08-06T12:38:38.498426,"{'cost_weight': 0.4888620735442579, 'service_weight': 0.8330228866006114, 'max_cascade_depth': 2, 'max_deadhead_minutes': 116.12772017208266, 'max_delay_minutes': 119.76529151284971}",0.02,1.0,0.007396438998605175,1.0,600.0,1.0,0,0.02598881721496582
3,2025-08-06T12:38:38.528668,"{'cost_weight': 0.46851957635650954, 'service_weight': 0.5410252198798304, 'max_cascade_depth': 3, 'max_deadhead_minutes': 47.545447967554495, 'max_delay_minutes': 159.7626971171855}",0.02,1.0,0.009281798650306282,1.0,600.0,1.0,0,0.026246070861816406
4,2025-08-06T12:38:38.561786,"{'cost_weight': 0.2611033255587094, 'service_weight': 0.7668861581832719, 'max_cascade_depth': 3, 'max_deadhead_minutes': 31.025684293138813, 'max_delay_minutes': 59.50831171724698}",0.02,1.0,0.0050798832028566675,1.0,600.0,1.0,0,0.027118206024169922
5,2025-08-06T12:38:38.591949,"{'cost_weight': 0.6905916328640533, 'service_weight': 0.24556111268707603, 'max_cascade_depth': 2, 'max_deadhead_minutes': 37.16859039159079, 'max_delay_minutes': 161.88616984797673}",0.02,1.0,0.014753823799501653,1.0,600.0,1.0,0,0.02615952491760254
6,2025-08-06T12:38:38.623908,"{'cost_weight': 0.6933282306393698, 'service_weight': 0.3576190837757327, 'max_cascade_depth': 1, 'max_deadhead_minutes': 109.68133540960972, 'max_delay_minutes': 137.24358683321162}",0.02,1.0,0.013194348015918131,1.0,600.0,1.0,0,0.0279543399810791
7,2025-08-06T12:38:38.656909,"{'cost_weight': 0.1999174031782908, 'service_weight': 0.4046722887991049, 'max_cascade_depth': 2, 'max_deadhead_minutes': 47.49938010756344, 'max_delay_minutes': 76.61625648095483}",0.02,1.0,0.006613324898889122,1.0,600.0,1.0,0,0.028002023696899414
8,2025-08-06T12:38:38.688528,"{'cost_weight': 0.2906690224597037, 'service_weight': 0.308236629588463, 'max_cascade_depth': 1, 'max_deadhead_minutes': 112.99175195252866, 'max_delay_minutes': 71.71324544282336}",0.02,1.0,0.009706671542192319,1.0,600.0,1.0,0,0.026615142822265625
9,2025-08-06T12:38:38.719200,"{'cost_weight': 0.8440280756634801, 'service_weight': 0.7716664563568112, 'max_cascade_depth': 1, 'max_deadhead_minutes': 47.16781850690337, 'max_delay_minutes': 94.75733761725526}",0.02,1.0,0.01044786695673338,1.0,600.0,1.0,0,0.027633190155029297
10,2025-08-06T12:38:38.751398,"{'cost_weight': 0.621515687295324, 'service_weight': 0.4552546423444972, 'max_cascade_depth': 2, 'max_deadhead_minutes': 90.38210514654773, 'max_delay_minutes': 165.13154934544121}",0.02,1.0,0.011544071566370528,1.0,600.0,1.0,0,0.02620553970336914
11,2025-08-06T12:38:38.781967,"{'cost_weight': 0.1088993615816134, 'service_weight': 0.6559561132674392, 'max_cascade_depth': 3, 'max_deadhead_minutes': 64.71919013644826, 'max_delay_minutes': 35.79831799209811}",0.02,1.0,0.0028475801027143107,1.0,600.0,1.0,0,0.017566680908203125
12,2025-08-06T12:38:38.813330,"{'cost_weight': 0.12020265576541467, 'service_weight': 0.6537841412368565, 'max_cascade_depth': 3, 'max_deadhead_minutes': 68.24408109874892, 'max_delay_minutes': 33.25966101206387}",0.02,1.0,0.003106064760561076,1.0,600.0,1.0,0,0.019362688064575195
13,2025-08-06T12:38:38.846014,"{'cost_weight': 0.12530729322785375, 'service_weight': 0.61041614510408, 'max_cascade_depth': 3, 'max_deadhead_minutes': 67.06389162983925, 'max_delay_minutes': 34.043446005324206}",0.02,1.0,0.003406369477964607,1.0,600.0,1.0,0,0.01868605613708496
14,2025-08-06T12:38:38.876015,"{'cost_weight': 0.109890526294141, 'service_weight': 0.6538487592584218, 'max_cascade_depth': 3, 'max_deadhead_minutes': 66.37186930491644, 'max_delay_minutes': 53.34533048915297}",0.02,1.0,0.002877697360157022,1.0,600.0,1.0,0,0.017998933792114258
15,2025-08-06T12:38:38.908015,"{'cost_weight': 0.31160393729283037, 'service_weight': 0.6575827031049326, 'max_cascade_depth': 3, 'max_deadhead_minutes': 60.95973703657781, 'max_delay_minutes': 59.412104104591684}",0.02,1.0,0.006430215281649886,1.0,600.0,1.0,0,0.01900005340576172
16,2025-08-06T12:38:38.940015,"{'cost_weight': 0.3437392935341135, 'service_weight': 0.5406035860989, 'max_cascade_depth': 2, 'max_deadhead_minutes': 85.06124177882131, 'max_delay_minutes': 92.4535895977792}",0.02,1.0,0.0077738918116638,1.0,600.0,1.0,0,0.019001007080078125
17,2025-08-06T12:38:38.971355,"{'cost_weight': 0.41201350492007877, 'service_weight': 0.8748829508303403, 'max_cascade_depth': 3, 'max_deadhead_minutes': 77.11109285820497, 'max_delay_minutes': 48.64893762139594}",0.02,1.0,0.006403211432886016,1.0,600.0,1.0,0,0.017340898513793945
18,2025-08-06T12:38:39.002111,"{'cost_weight': 0.19729209764772349, 'service_weight': 0.7175212392899039, 'max_cascade_depth': 3, 'max_deadhead_minutes': 98.19382778096931, 'max_delay_minutes': 74.54439413185278}",0.02,1.0,0.004313275499637256,1.0,600.0,1.0,0,0.018752336502075195
19,2025-08-06T12:38:39.033617,"{'cost_weight': 0.19839729430434064, 'service_weight': 0.5744023655772518, 'max_cascade_depth': 3, 'max_deadhead_minutes': 55.6160617640375, 'max_delay_minutes': 53.1385619059493}",0.02,1.0,0.005134507805936117,1.0,600.0,1.0,0,0.01749730110168457
20,2025-08-06T12:38:39.063759,"{'cost_weight': 0.38663958286242994, 'service_weight': 0.15883638371654607, 'max_cascade_depth': 2, 'max_deadhead_minutes': 75.374331470871, 'max_delay_minutes': 109.11417622910801}",0.02,1.0,0.014176227975259506,1.0,600.0,1.0,0,0.017637968063354492
