trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T08:26:43.729338,"{'cost_weight': 0.23740709371119703, 'service_weight': 0.4669937426771287, 'compliance_weight': 0.29559916361167426, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.030803203582763672
2,2025-08-06T08:26:43.812685,"{'cost_weight': 0.31603105818080135, 'service_weight': 0.4813528914113058, 'compliance_weight': 0.20261605040789285, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015717267990112305
3,2025-08-06T08:26:43.895467,"{'cost_weight': 0.3859079081568661, 'service_weight': 0.38800629523396973, 'compliance_weight': 0.22608579660916403, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014813899993896484
4,2025-08-06T08:26:43.986168,"{'cost_weight': 0.44247836232562004, 'service_weight': 0.14602699509407863, 'compliance_weight': 0.4114946425803014, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.022182226181030273
5,2025-08-06T08:26:44.068395,"{'cost_weight': 0.3338327646507036, 'service_weight': 0.3605838514327673, 'compliance_weight': 0.30558338391652906, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014000892639160156
6,2025-08-06T08:26:44.218153,"{'cost_weight': 0.16713223035156644, 'service_weight': 0.6709898173176146, 'compliance_weight': 0.16187795233081895, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01736164093017578
7,2025-08-06T08:26:44.300802,"{'cost_weight': 0.18583672445294366, 'service_weight': 0.39951378975623064, 'compliance_weight': 0.4146494857908257, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01399850845336914
8,2025-08-06T08:26:44.379692,"{'cost_weight': 0.22097549558548357, 'service_weight': 0.5839207784227737, 'compliance_weight': 0.19510372599174278, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010282516479492188
9,2025-08-06T08:26:44.418990,"{'cost_weight': 0.4307306095798703, 'service_weight': 0.27254704022694237, 'compliance_weight': 0.2967223501931874, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010875225067138672
10,2025-08-06T08:26:44.466129,"{'cost_weight': 0.5282094981875155, 'service_weight': 0.35703929099041043, 'compliance_weight': 0.11475121082207401, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.020004987716674805
11,2025-08-06T08:26:44.519137,"{'cost_weight': 0.41220751516714405, 'service_weight': 0.12883114118677969, 'compliance_weight': 0.4589613436460762, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.017850160598754883
12,2025-08-06T08:26:44.601624,"{'cost_weight': 0.3755947449897635, 'service_weight': 0.334382126911551, 'compliance_weight': 0.2900231280986855, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.0070002079010009766
13,2025-08-06T08:26:44.751257,"{'cost_weight': 0.2910055247137519, 'service_weight': 0.43013236826114865, 'compliance_weight': 0.2788621070250994, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.00900125503540039
14,2025-08-06T08:26:44.802089,"{'cost_weight': 0.14589900155943808, 'service_weight': 0.36162035361822287, 'compliance_weight': 0.49248064482233905, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015186309814453125
15,2025-08-06T08:26:44.850958,"{'cost_weight': 0.3960704947938065, 'service_weight': 0.4117311385026901, 'compliance_weight': 0.1921983667035035, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01299905776977539
16,2025-08-06T08:26:44.935221,"{'cost_weight': 0.428469446960709, 'service_weight': 0.37367073482517554, 'compliance_weight': 0.1978598182141155, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010237455368041992
17,2025-08-06T08:26:44.982326,"{'cost_weight': 0.16536630841568953, 'service_weight': 0.38445924695620104, 'compliance_weight': 0.4501744446281095, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01387643814086914
18,2025-08-06T08:26:45.068416,"{'cost_weight': 0.4173169649843531, 'service_weight': 0.3027758147382331, 'compliance_weight': 0.27990722027741366, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009795188903808594
19,2025-08-06T08:26:45.117983,"{'cost_weight': 0.19228842222998868, 'service_weight': 0.4163100102274331, 'compliance_weight': 0.39140156754257827, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014000415802001953
20,2025-08-06T08:26:45.212002,"{'cost_weight': 0.5322370735614123, 'service_weight': 0.21498281762998933, 'compliance_weight': 0.25278010880859847, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.02268075942993164
